Index	MNI (Peak)	Peak Anatomical Location	Brodmann Areas	AAL Locations	Size (voxels)	Peak intensity
19	48, 52, -4	Frontal_Mid_Orb_R (aal)	BA10 (100.00%);	Right Superior frontal gyrus, medial orbital (80.00%); Right Middle frontal gyrus (20.00%);	5	-4.55
20	68, -42, 2	Temporal_Mid_R (aal)	BA22 (44.44%); BA21 (22.22%);	Right Middle temporal gyrus (100.00%);	9	-5.01
21	2, -32, 6	Corpus Callosum	-	Right Precuneus (11.43%); Right Lingual gyrus (8.57%); Right Posterior cingulate gyrus (5.71%);	35	-3.93
22	50, 34, 6	Frontal_Inf_Tri_R (aal)	BA45 (5.88%);	Right Inferior frontal gyrus, triangular part (100.00%);	17	-3.49
23	-60, 16, 8	Precentral Gyrus	BA44 (35.71%); BA45 (14.29%);	Left Inferior frontal gyrus, opercular part (64.29%); Left Inferior frontal gyrus, triangular part (21.43%);	14	-4.44
24	2, -18, 12	White Matter	-	Right Thalamus (50.00%);	8	-3.28
25	64, -4, 32	Postcentral_R (aal)	BA6 (18.18%); BA9 (11.04%); BA4 (3.90%); BA45 (1.30%);	Right Inferior frontal gyrus, opercular part (38.31%); Right Postcentral gyrus (31.17%); Right Precental gyrus (30.52%);	154	-9.32
26	62, -48, 34	SupraMarginal_R (aal)	BA40 (39.02%);	Right Supramarginal gyrus (51.22%); Right Angular gyrus (43.90%); Right Superior temporal gyrus (2.44%); Right Inferior parietal, but supramarginal and angular gyri (2.44%);	41	-8.63
27	-62, 8, 24	brodmann area 9	BA9 (40.00%);	Left Precental gyrus (80.00%);	5	-4.55
28	0, -4, 32	Cingulum_Mid_L (aal)	BA24 (38.46%);	Right Median cingulate and paracingulate gyri (52.56%); Left Median cingulate and paracingulate gyri (39.74%); Left Anterior cingulate and paracingulate gyri (3.85%);	78	-4.21
29	-42, 20, 50	Frontal_Mid_L (aal)	BA8 (21.05%); BA6 (15.79%);	Left Middle frontal gyrus (98.68%); Left Inferior frontal gyrus, opercular part (1.32%);	76	-6.00
30	50, -4, 38	Precentral_R (aal)	BA6 (50.00%);	Right Precental gyrus (100.00%);	16	-3.30
31	-34, -32, 40	Postcentral_L (aal)	BA2 (10.53%); BA40 (5.26%);	Left Postcentral gyrus (47.37%); Left Inferior parietal, but supramarginal and angular gyri (26.32%);	19	-3.54
32	48, -12, 58	Precentral_R (aal)	BA6 (28.57%); BA4 (28.57%); BA3 (14.29%);	Right Precental gyrus (85.71%); Right Postcentral gyrus (14.29%);	14	-7.88
33	52, -38, 56	Parietal_Inf_R (aal)	BA2 (19.77%); BA40 (17.44%); BA1 (12.79%); BA3 (12.79%); BA5 (1.16%); BA4 (1.16%);	Right Postcentral gyrus (89.53%); Right Inferior parietal, but supramarginal and angular gyri (8.14%); Right Superior parietal gyrus (2.33%);	86	-8.25
34	38, -62, 56	Parietal_Sup_R (aal)	BA7 (60.00%);	Right Superior parietal gyrus (100.00%);	5	-3.21
35	40, -6, 62	Precentral_R (aal)	BA6 (53.85%);	Right Precental gyrus (53.85%); Right Middle frontal gyrus (38.46%); Right Superior frontal gyrus, dorsolateral (7.69%);	13	-3.69
36	-14, -8, 68	Precentral_L (aal)	BA6 (37.50%);	Left Supplementary motor area (43.75%); Left Precental gyrus (31.25%); Left Superior frontal gyrus, dorsolateral (12.50%); Left Paracentral lobule (12.50%);	16	-3.30
37	-20, 8, 68	Frontal_Sup_L (aal)	BA6 (37.93%);	Left Superior frontal gyrus, dorsolateral (100.00%);	29	-5.06
38	30, -36, 70	Postcentral_R (aal)	BA3 (16.67%); BA2 (16.67%);	Right Postcentral gyrus (100.00%);	6	-5.02
39	-2, 8, 70	Supp_Motor_Area_L (aal)	-	Left Supplementary motor area (80.00%); Right Supplementary motor area (20.00%);	5	-5.96
40	6, -20, 76	Paracentral_Lobule_R (aal)	BA6 (35.35%); BA4 (13.13%); BA3 (3.03%);	Right Paracentral lobule (59.60%); Right Supplementary motor area (12.12%); Left Paracentral lobule (9.09%); Right Precental gyrus (8.08%); Right Postcentral gyrus (4.04%);	99	-7.52
41	28, -30, 72	Postcentral Gyrus	BA3 (16.67%); BA4 (8.33%); BA2 (8.33%);	Right Postcentral gyrus (50.00%); Right Precental gyrus (41.67%);	12	-4.40
42	20, -14, 72	Frontal_Sup_R (aal)	BA6 (80.00%);	Right Superior frontal gyrus, dorsolateral (100.00%);	5	-3.08
43	-2, 4, 72	Supp_Motor_Area_L (aal)	BA6 (20.00%);	Left Supplementary motor area (80.00%); Right Supplementary motor area (20.00%);	5	-6.01
44	-18, -30, 74	Postcentral_L (aal)	BA3 (30.77%); BA5 (7.69%); BA2 (7.69%);	Left Postcentral gyrus (61.54%); Left Paracentral lobule (38.46%);	13	-3.85
